SHEET Balance (data 88x27)
R1: [1]S. No | [2]Qtr | [3]Month | [4]PO Number | [5]Hospital Name | [6]Client | [7]Invoice # | [8]Invoice Date | [9]Basic | [10]GST | [11]Other | [12]Total Amount 1 | [13]Credit Note | [14]Total Amount | [15]Invoice Status | [16]Received | [17]Balance(Rs.) | [18]TDS | [19]Retention Money | [20]Retention Received | [21]Retention Balance | [22]Cr Period | [23]Due Date | [24]2026-03-19 | [25]Remarks | [26]Signed date | [27]Invoice Remarks
R2: [1]1 | [2]Q-1 | [3]2024-06-24 | [4] | [5]Oxford Medical College and Hospital | [6]Oxford Medical College and Hospital | [7]350 | [8]2024-04-06 | [9]190000 | [10]34200 | [11] | [12]224200 | [13] | [14]224200 | [15]Received | [16]216364 | [17]7836 | [18] | [19]0 | [20] | [21]S2-T2 | [22]30 | [23] | [24] | [25] | [26] | [27]
R3: [1]2 | [2]Q-1 | [3]2024-06-24 | [4] | [5]Sri Kauvery Medical Care (India) Ltd | [6]Sri Kauvery Medical Care (India) Ltd | [7]353 | [8]2024-06-06 | [9]4610 | [10]829.8 | [11] | [12]5439.8 | [13] | [14]5439.8 | [15]Payment to be received | [16] | [17]5439.8 | [18]VLOOKUP(G3,Sheet2!B:N,13,0) | [19]0 | [20] | [21]{"sharedFormula":"U2"} | [22]30 | [23] | [24] | [25] | [26] | [27]
R4: [1]3 | [2]Q-2 | [3]2024-07-24 | [4] | [5]Manipal Health Enterprises Pvt Ltd | [6]MANIPAL HOSPITAL -SARJAPUR | [7]423 | [8]26-07-2024 | [9]26148.7 | [10]4706.76 | [11] | [12]30855 | [13] | [14]30855 | [15]Payment to be received | [16] | [17]30855 | [18]VLOOKUP(G4,Sheet2!B:N,13,0) | [19]0 | [20] | [21]{"sharedFormula":"U2"} | [22]30 | [23] | [24] | [25] | [26] | [27]
R5: [1]4 | [2]Q-2 | [3]2024-08-24 | [4] | [5]NIMHANS | [6]NIMHANS | [7]438 | [8]2024-06-08 | [9]234217 | [10]42159.06 | [11] | [12]276376 | [13] | [14]276376 | [15]Payment to be received | [16]267008 | [17]4683.66 | [18]4684.34 | [19]0 | [20] | [21]{"sharedFormula":"U2"} | [22]30 | [23] | [24] | [25] | [26] | [27]
R6: [1]5 | [2]Q-2 | [3]2024-09-24 | [4] | [5]THE ORFORD IND PRE UNIVERSITY COLLEGE | [6]THE ORFORD IND PRE UNIVERSITY COLLEGE | [7]469 | [8]2024-02-09 | [9]30412 | [10]5474.16 | [11] | [12]35886.16 | [13] | [14]35886.16 | [15]Payment to be received | [16]8911 | [17]26975.16 | [18]VLOOKUP(G6,Sheet2!B:N,13,0) | [19]0 | [20] | [21]{"sharedFormula":"U2"} | [22]30 | [23] | [24] | [25] | [26] | [27]
R7: [1]6 | [2]Q-2 | [3]2024-09-24 | [4] | [5]Sri Kauvery Medical Care (India) Ltd | [6]KAUVERY HOSPITAL | [7]484 | [8]16-09-2024 | [9]5650 | [10]1017 | [11] | [12]6667 | [13] | [14]6667 | [15]Payment to be received | [16]1194 | [17]5360 | [18]113 | [19]0 | [20] | [21]{"sharedFormula":"U2"} | [22]30 | [23] | [24] | [25] | [26] | [27]
R8: [1]7 | [2]Q-2 | [3]2024-09-24 | [4] | [5]Sri Kauvery Medical Care (India) Ltd | [6]Sri Kauvery Medical Care(India) Ltd-Electronic City | [7]490 | [8]23-09-2024 | [9]8100 | [10]1458 | [11] | [12]9558 | [13] | [14]9558 | [15]Payment to be received | [16] | [17]9558 | [18] | [19]0 | [20] | [21]{"sharedFormula":"U2"} | [22]30 | [23] | [24] | [25] | [26] | [27]
R9: [1]8 | [2]Q-2 | [3]2024-09-24 | [4] | [5]Sri Kauvery Medical Care (India) Ltd | [6]Sri Kauvery Medical Care(India) Ltd-Electronic City | [7]491 | [8]23-09-2024 | [9]7500 | [10]1350 | [11] | [12]8850 | [13] | [14]8850 | [15]Payment to be received | [16] | [17]8850 | [18] | [19]0 | [20] | [21]{"sharedFormula":"U2"} | [22]30 | [23] | [24] | [25] | [26] | [27]
R10: [1]9 | [2]Q-3 | [3]2024-10-24 | [4] | [5]Sri Kauvery Medical Care (India) Ltd | [6]Sri Kauvery Medical Care(India) Ltd-Electronic City | [7]519 | [8]17-10-2024 | [9]3800 | [10]684 | [11] | [12]4484 | [13] | [14]4484 | [15]Payment to be received | [16] | [17]4484 | [18]VLOOKUP(G10,Sheet2!B:N,13,0) | [19]0 | [20] | [21]{"sharedFormula":"U2"} | [22]30 | [23] | [24] | [25] | [26] | [27]
R11: [1]10 | [2]Q-3 | [3]2024-10-24 | [4] | [5]Sri Kauvery Medical Care (India) Ltd | [6]Sri Kauvery Medical Care(India) Ltd-Electronic City | [7]520 | [8]17-10-2024 | [9]5000 | [10]900 | [11] | [12]5900 | [13] | [14]5900 | [15]Payment to be received | [16] | [17]5900 | [18] | [19]0 | [20] | [21]{"sharedFormula":"U2"} | [22]30 | [23] | [24] | [25] | [26] | [27]
R12: [1]11 | [2]Q-3 | [3]2024-11-24 | [4] | [5]Sri Kauvery Medical Care (India) Ltd | [6]Sri Kauvery Medical Care (India) Ltd | [7]547 | [8]2024-11-11 | [9]10100 | [10]1818 | [11] | [12]11918 | [13] | [14]11918 | [15]Payment to be received | [16] | [17]11918 | [18] | [19]0 | [20] | [21]{"sharedFormula":"U2"} | [22]30 | [23] | [24] | [25] | [26] | [27]
R13: [1]12 | [2]Q-3 | [3]2024-11-24 | [4] | [5]shiva and Shiva (Sparsh) | [6]Sparsh Hospital - YELAHANKA | [7]563 | [8]20/11/24 | [9]140125 | [10]25222.5 | [11] | [12]165347.5 | [13] | [14]165347.5 | [15]Payment to be received | [16] | [17]165347.5 | [18] | [19]0 | [20] | [21]{"sharedFormula":"U2"} | [22]30 | [23] | [24] | [25] | [26] | [27]
R14: [1]13 | [2]Q-3 | [3]2024-12-24 | [4] | [5]Sri kauvery Medical Care (India) Ltd | [6]Sri kauvery Medical Care (India) Ltd | [7]594 | [8]17/12/24 | [9]2780 | [10]500 | [11] | [12]3280 | [13] | [14]3280 | [15]Payment to be received | [16] | [17]3280 | [18] | [19]0 | [20] | [21]{"sharedFormula":"U2"} | [22]30 | [23] | [24] | [25] | [26] | [27]
R15: [1]14 | [2]Q-3 | [3]2024-12-24 | [4]147/2024-25 | [5]People Tree Hospital | [6]People Tree Hospital | [7]599 | [8]23/12/24 | [9]19492 | [10]3508 | [11] | [12]23000 | [13] | [14]23000 | [15]Payment to be received | [16] | [17]23000 | [18] | [19]0 | [20] | [21]{"sharedFormula":"U2"} | [22]30 | [23] | [24] | [25] | [26] | [27]
R16: [1]15 | [2]Q-3 | [3]2024-12-24 | [4]110025212974 | [5]Fortis Hospital | [6]Fortis Hospital - Bannerghatta | [7]606 | [8]26/12/24 | [9]3100 | [10]558 | [11] | [12]3658 | [13] | [14]3658 | [15]Payment to be received | [16] | [17]3658 | [18] | [19]0 | [20] | [21]{"sharedFormula":"U2"} | [22]30 | [23] | [24] | [25] | [26] | [27]
R17: [1]16 | [2]Q-4 | [3]2025-01-25 | [4]Verbal Praveen | [5]Sri kauvery Medical Care (India) Ltd | [6]Sri kauvery Medical Care (India) Ltd | [7]634 | [8]20/1/25 | [9] | [10]2950 | [11] | [12]2950 | [13] | [14]2950 | [15]Payment to be received | [16] | [17]2950 | [18] | [19]0 | [20] | [21]{"sharedFormula":"U2"} | [22]30 | [23] | [24] | [25] | [26] | [27]
