SHEET Retention Money (data 60x17)
R1: [1]S.No | [2]Year | [3]Particulars | [4]PO | [5]MONTH | [6]Inv Date | [7]Inv No | [8]Taxable Value | [9]Gst | [10]Invoice Value | [11]Retention Percentage | [12]Retention Money | [13]Retention Received | [14]Retention Balance | [15]Fri Apr 17 2026 05:30:00 GMT+0530 (India Standard Time) | [16]Remarks | [17] 
R2: [1]1 | [2]2023-24 | [3]Manipal Health Enterprises - KMC | [4]KMC1 4700004979 | [5]2025-04-23 | [6]2023-03-04 | [7]30 | [8]1,26,144 | [9]22706 | [10]1,48,850 | [11]0.05 | [12]7443 | [13] | [14]7443 | [15]-634 | [16]Request Letter to be send | [17]Ready
R3: [1]2 | [2]2023-24 | [3]Manipal Health Enterprises - Salem | [4]MSA1 4700005021 | [5]2025-04-23 | [6]24-04-2023 | [7]40 | [8]1,63,486 | [9]29428 | [10]1,92,914 | [11]0.05 | [12]9646 | [13]9646 | [14]{"sharedFormula":"N2"} | [15]-613 | [16]Request Letter to be send | [17]
R4: [1]3 | [2]2023-24 | [3]Manipal Health Enterprises - Whitefield | [4]MWP1 4700004956 | [5]2025-05-23 | [6]2023-08-05 | [7]55 | [8]3,70,914 | [9]66765 | [10]4,37,679 | [11]0.067 | [12]29303 | [13] | [14]29303 | [15]-599 | [16]Request Letter to be send | [17]Ready
R5: [1]4 | [2]2023-24 | [3]Shiva and Shiva Yelanka | [4]YNK/PO/29/2022-23 | [5]2025-05-23 | [6]13-05-2023 | [7]57 | [8]9,54,870 | [9]1,71,877 | [10]11,26,747 | [11]0.05 | [12]47744 | [13] | [14]47744 | [15]-600 | [16] | [17]Ready
R6: [1]5 | [2]2023-24 | [3]Shiva and Shiva Yelanka | [4]YNK/PO/29/2022-23 | [5]2025-05-23 | [6]30-05-2023 | [7]66 | [8]19,95,000 | [9]3,59,100 | [10]23,54,100 | [11]0.05 | [12]99750 | [13] | [14]99750 | [15]-583 | [16] | [17]Ready
R7: [1]6 | [2]2023-24 | [3]Manipal Health Enterprises - Salem | [4]MSA1 4700005138 | [5]2025-06-23 | [6]2023-05-06 | [7]70 | [8]19,40,120 | [9]3,49,222 | [10]22,89,342 | [11]0.05 | [12]114469 | [13]114469 | [14]{"sharedFormula":"N2"} | [15]-571 | [16]Request Letter to be send | [17]
R8: [1]7 | [2]2023-24 | [3]Shiva and Shiva Yelanka | [4]YNK/PO/29/2022-23 | [5]2025-06-23 | [6]21-06-2023 | [7]78 | [8]12,56,150 | [9]2,26,107 | [10]14,82,257 | [11]0.05 | [12]62808 | [13] | [14]62808 | [15]-561 | [16] | [17]Ready
R9: [1]8 | [2]2023-24 | [3]Manipal Health Enterprises - HAL | [4]MHB1 4700005058 | [5]2025-07-23 | [6]2023-11-07 | [7]86 | [8]7,25,195 | [9]1,30,535 | [10]8,55,730 | [11]0.05 | [12]42787 | [13] | [14]42787 | [15]-535 | [16]Request Letter to be send | [17]Ready
R10: [1]9 | [2]2023-24 | [3]Manipal Health Enterprises - Jayanagar | [4]MMB1 4700005256 | [5]2025-07-23 | [6]13-07-2023 | [7]89 | [8]2,26,671 | [9]40801 | [10]2,67,472 | [11]0.05 | [12]13374 | [13] | [14]13374 | [15]-533 | [16]Request Letter to be send | [17]Ready
R11: [1]10 | [2]2023-24 | [3]Manipal Health Enterprises - HAL | [4]MHB1 4700005210 | [5]2025-07-23 | [6]14/07/2023 | [7]91 | [8]6,18,959 | [9]1,11,413 | [10]7,30,372 | [11]0.05 | [12]36519 | [13] | [14]36519 | [15]-532 | [16]Request Letter to be send | [17]Ready
R12: [1]11 | [2]2023-24 | [3]Manipal Health Enterprises - Salem | [4]MSA1 4700005138 | [5]2025-07-23 | [6]18-07-2023 | [7]93 | [8]5,70,000 | [9]1,02,600 | [10]6,72,600 | [11]0.05 | [12]33630 | [13]33630 | [14]{"sharedFormula":"N2"} | [15]-528 | [16]Request Letter to be send | [17]
