SHEET Sheet1 (data 670x36)
R1: [1] | [2] | [3]Initial | [4]2026-01-04 | [5]2026-02-04 | [6]2026-03-04 | [7]2026-04-04 | [8]2026-05-04 | [9]2026-06-04 | [10]2026-07-04 | [11]2026-08-04 | [12]2026-09-04 | [13]2026-10-04 | [14]2026-11-04 | [15]2026-12-04 | [16]13/04/26 | [17]14/04/26 | [18]15/04/26 | [19]16/04/26 | [20]17/04/26 | [21]18/04/26 | [22]19/04/26 | [23]20/04/26 | [24]21/04/26 | [25]22/04/26 | [26]23/04/26 | [27]24/04/26 | [28]25/04/26 | [29]26/04/26 | [30]27/04/26 | [31]28/04/26 | [32]29/04/26 | [33]30/04/26 | [34]FINAL  | [35]PRICE | [36]AMOUNT
R2: [1]1 | [2]8mm *  1/4m Connector | [3]138 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]138 | [35]43 | [36]5934
R3: [1] | [2]8mm *  1/4f  Connector | [3]5 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]5 | [35]43 | [36]215
R4: [1]2 | [2]8mm * 1/4m Elbow | [3]129 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16]30 | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]99 | [35]60 | [36]5940
R5: [1]3 | [2]8mm Y connector | [3]142 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]142 | [35]105 | [36]14910
R6: [1]4 | [2]8mm *4mm Connector | [3]26 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]26 | [35]45 | [36]1170
R7: [1]5 | [2]8mm * 1/8m Connetor | [3]9 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]9 | [35]40 | [36]360
R8: [1] | [2]8mm * 3/8m Connetor | [3]9 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]9 | [35]42 | [36]378
R9: [1]6 | [2]8mm * 3/8m Elbow | [3]6 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]6 | [35]60 | [36]360
R10: [1]7 | [2]8mm * 8mm Straight | [3]46 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]46 | [35]80 | [36]3680
R11: [1]8 | [2]8mm * 8mm open/close & FC valve | [3]11 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]11 | [35]150 | [36]1650
